tag,role,format,aami,n,n_abn,abn_fraction,class_auc,global_auc,recall@0.35,recall@0.50,recall@0.60,recall@0.65,global_precision@0.35,global_precision@0.50,global_precision@0.60,global_precision@0.65,global_far@0.35,global_far@0.50,global_far@0.60,global_far@0.65
exp5_patient_clean,patient_level_research_baseline,h5_float32,N,116921,0,0.0,,0.903056,,,,,0.297445,0.329504,0.351966,0.363731,0.331718,0.281559,0.250888,0.236175
exp5_patient_clean,patient_level_research_baseline,h5_float32,S,1812,1812,1.0,,0.903056,0.984547,0.979581,0.965784,0.959161,0.297445,0.329504,0.351966,0.363731,0.331718,0.281559,0.250888,0.236175
exp5_patient_clean,patient_level_research_baseline,h5_float32,V,14390,14390,1.0,,0.903056,0.983044,0.970188,0.956984,0.948019,0.297445,0.329504,0.351966,0.363731,0.331718,0.281559,0.250888,0.236175
exp5_patient_clean,patient_level_research_baseline,h5_float32,F,2334,2334,1.0,,0.903056,0.743787,0.706084,0.676949,0.662811,0.297445,0.329504,0.351966,0.363731,0.331718,0.281559,0.250888,0.236175
exp5_patient_clean,patient_level_research_baseline,h5_float32,Q,0,0,,,0.903056,,,,,0.297445,0.329504,0.351966,0.363731,0.331718,0.281559,0.250888,0.236175
exp5_patient_clean,patient_level_research_baseline,h5_float32,ALL,163078,20891,0.128104,,0.903056,0.955866,0.941745,0.927433,0.918912,0.297445,0.329504,0.351966,0.363731,0.331718,0.281559,0.250888,0.236175
exp6_sgd,deploy_chain_retrain,h5_float32,N,116921,0,0.0,,0.852388,,,,,0.271317,0.297619,0.316326,0.326956,0.358394,0.30711,0.276024,0.259553
exp6_sgd,deploy_chain_retrain,h5_float32,S,1812,1812,1.0,,0.852388,0.901766,0.875276,0.853201,0.844371,0.271317,0.297619,0.316326,0.326956,0.358394,0.30711,0.276024,0.259553
exp6_sgd,deploy_chain_retrain,h5_float32,V,14390,14390,1.0,,0.852388,0.973662,0.954065,0.940236,0.930229,0.271317,0.297619,0.316326,0.326956,0.358394,0.30711,0.276024,0.259553
exp6_sgd,deploy_chain_retrain,h5_float32,F,2334,2334,1.0,,0.852388,0.460154,0.414739,0.383033,0.363325,0.271317,0.297619,0.316326,0.326956,0.358394,0.30711,0.276024,0.259553
exp6_sgd,deploy_chain_retrain,h5_float32,Q,0,0,,,0.852388,,,,,0.271317,0.297619,0.316326,0.326956,0.358394,0.30711,0.276024,0.259553
exp6_sgd,deploy_chain_retrain,h5_float32,ALL,163078,20891,0.128104,,0.852388,0.908238,0.885692,0.869226,0.858169,0.271317,0.297619,0.316326,0.326956,0.358394,0.30711,0.276024,0.259553
exp7b,pre_real_afe_finetune,h5_float32,N,116921,0,0.0,,0.798981,,,,,0.268756,0.285726,0.297029,0.303114,0.35179,0.306603,0.278535,0.263822
