tag,role,format,aami,n,n_abn,abn_fraction,class_auc,global_auc,recall@0.35,recall@0.50,recall@0.60,recall@0.65,global_precision@0.35,global_precision@0.50,global_precision@0.60,global_precision@0.65,global_far@0.35,global_far@0.50,global_far@0.60,global_far@0.65
exp5_patient_clean,patient_level_research_baseline,h5_float32,N,20981,0,0.0,,0.948573,,,,,0.316818,0.365734,0.40137,0.419087,0.254027,0.202046,0.171925,0.158735
exp5_patient_clean,patient_level_research_baseline,h5_float32,S,302,302,1.0,,0.948573,0.986755,0.980132,0.963576,0.960265,0.316818,0.365734,0.40137,0.419087,0.254027,0.202046,0.171925,0.158735
exp5_patient_clean,patient_level_research_baseline,h5_float32,V,2590,2590,1.0,,0.948573,0.987259,0.974903,0.964865,0.954826,0.316818,0.365734,0.40137,0.419087,0.254027,0.202046,0.171925,0.158735
exp5_patient_clean,patient_level_research_baseline,h5_float32,F,389,389,1.0,,0.948573,0.745501,0.712082,0.686375,0.676093,0.316818,0.365734,0.40137,0.419087,0.254027,0.202046,0.171925,0.158735
exp5_patient_clean,patient_level_research_baseline,h5_float32,Q,0,0,,,0.948573,,,,,0.316818,0.365734,0.40137,0.419087,0.254027,0.202046,0.171925,0.158735
exp5_patient_clean,patient_level_research_baseline,h5_float32,ALL,51883,5636,0.108629,,0.948573,0.966643,0.955997,0.945884,0.939674,0.316818,0.365734,0.40137,0.419087,0.254027,0.202046,0.171925,0.158735
exp6_sgd,deploy_chain_retrain,h5_float32,N,20981,0,0.0,,0.912206,,,,,0.284332,0.323641,0.350705,0.36605,0.284754,0.231864,0.202046,0.186866
exp6_sgd,deploy_chain_retrain,h5_float32,S,302,302,1.0,,0.912206,0.913907,0.887417,0.860927,0.854305,0.284332,0.323641,0.350705,0.36605,0.284754,0.231864,0.202046,0.186866
exp6_sgd,deploy_chain_retrain,h5_float32,V,2590,2590,1.0,,0.912206,0.971815,0.956371,0.944015,0.934749,0.284332,0.323641,0.350705,0.36605,0.284754,0.231864,0.202046,0.186866
exp6_sgd,deploy_chain_retrain,h5_float32,F,389,389,1.0,,0.912206,0.473008,0.426735,0.393316,0.377892,0.284332,0.323641,0.350705,0.36605,0.284754,0.231864,0.202046,0.186866
exp6_sgd,deploy_chain_retrain,h5_float32,Q,0,0,,,0.912206,,,,,0.284332,0.323641,0.350705,0.36605,0.284754,0.231864,0.202046,0.186866
exp6_sgd,deploy_chain_retrain,h5_float32,ALL,51883,5636,0.108629,,0.912206,0.928318,0.910397,0.895493,0.88538,0.284332,0.323641,0.350705,0.36605,0.284754,0.231864,0.202046,0.186866
exp7b,pre_real_afe_finetune,h5_float32,N,20981,0,0.0,,0.863523,,,,,0.288197,0.312248,0.32877,0.337406,0.269272,0.228988,0.204619,0.192315
exp7b,pre_real_afe_finetune,h5_float32,S,302,302,1.0,,0.863523,0.937086,0.923841,0.923841,0.92053,0.288197,0.312248,0.32877,0.337406,0.269272,0.228988,0.204619,0.192315
exp7b,pre_real_afe_finetune,h5_float32,V,2590,2590,1.0,,0.863523,0.963707,0.931274,0.894981,0.870656,0.288197,0.312248,0.32877,0.337406,0.269272,0.228988,0.204619,0.192315
exp7b,pre_real_afe_finetune,h5_float32,F,389,389,1.0,,0.863523,0.411311,0.321337,0.275064,0.25964,0.288197,0.312248,0.32877,0.337406,0.269272,0.228988,0.204619,0.192315
exp7b,pre_real_afe_finetune,h5_float32,Q,0,0,,,0.863523,,,,,0.288197,0.312248,0.32877,0.337406,0.269272,0.228988,0.204619,0.192315
exp7b,pre_real_afe_finetune,h5_float32,ALL,51883,5636,0.108629,,0.863523,0.894606,0.853087,0.822392,0.803584,0.288197,0.312248,0.32877,0.337406,0.269272,0.228988,0.204619,0.192315
exp7c_float32,current_deployment_anchor,h5_float32,N,20981,0,0.0,,0.885801,,,,,0.303793,0.431647,0.435866,0.426296,0.251238,0.109585,0.080265,0.070102
exp7c_float32,current_deployment_anchor,h5_float32,S,302,302,1.0,,0.885801,0.937086,0.890728,0.817881,0.764901,0.303793,0.431647,0.435866,0.426296,0.251238,0.109585,0.080265,0.070102
exp7c_float32,current_deployment_anchor,h5_float32,V,2590,2590,1.0,,0.885801,0.969112,0.733205,0.496911,0.382239,0.303793,0.431647,0.435866,0.426296,0.251238,0.109585,0.080265,0.070102
exp7c_float32,current_deployment_anchor,h5_float32,F,389,389,1.0,,0.885801,0.460154,0.077121,0.030848,0.012853,0.303793,0.431647,0.435866,0.426296,0.251238,0.109585,0.080265,0.070102
exp7c_float32,current_deployment_anchor,h5_float32,Q,0,0,,,0.885801,,,,,0.303793,0.431647,0.435866,0.426296,0.251238,0.109585,0.080265,0.070102
exp7c_float32,current_deployment_anchor,h5_float32,ALL,51883,5636,0.108629,,0.885801,0.899574,0.682931,0.508872,0.427431,0.303793,0.431647,0.435866,0.426296,0.251238,0.109585,0.080265,0.070102
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,N,20981,0,0.0,,0.889437,,,,,0.199853,0.452825,0.468119,0.537587,0.470603,0.089411,0.043289,0.022877
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,S,302,302,1.0,,0.889437,0.990066,0.831126,0.582781,0.423841,0.199853,0.452825,0.468119,0.537587,0.470603,0.089411,0.043289,0.022877
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,V,2590,2590,1.0,,0.889437,0.997297,0.611197,0.207336,0.109266,0.199853,0.452825,0.468119,0.537587,0.470603,0.089411,0.043289,0.022877
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,F,389,389,1.0,,0.889437,0.598972,0.046272,0.005141,0.005141,0.199853,0.452825,0.468119,0.537587,0.470603,0.089411,0.043289,0.022877
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,Q,0,0,,,0.889437,,,,,0.199853,0.452825,0.468119,0.537587,0.470603,0.089411,0.043289,0.022877
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,ALL,51883,5636,0.108629,,0.889437,0.964514,0.607168,0.312633,0.21824,0.199853,0.452825,0.468119,0.537587,0.470603,0.089411,0.043289,0.022877
p2a_float32,historical_strong_research_model,h5_float32,N,20981,0,0.0,,0.964564,,,,,0.424591,0.450248,0.465749,0.474081,0.158064,0.141328,0.131706,0.126797
p2a_float32,historical_strong_research_model,h5_float32,S,302,302,1.0,,0.964564,0.97351,0.950331,0.940397,0.933775,0.424591,0.450248,0.465749,0.474081,0.158064,0.141328,0.131706,0.126797
