tag,format,split,theta,policy,gt_gap_beats,alert_cooldown_beats,global_auc,beat_precision,beat_recall,beat_far,beat_f1,alert_rate,event_precision,event_recall,event_f1,false_alarm_blocks,fp_per_record,fp_per_1000_beats,median_latency_beats
exp7c_float32,h5_float32,validation,0.35,1-of-1,5,5,0.776474,0.276238,0.643289,0.243724,0.386505,0.294203,0.657143,0.819802,0.729515,528,19.555556,7.461421,0.0
exp7c_float32,h5_float32,validation,0.35,1-of-3,5,5,0.776474,0.188146,0.73255,0.457088,0.299397,0.491889,0.658492,0.826403,0.732954,376,13.925926,5.313436,0.0
exp7c_float32,h5_float32,validation,0.35,1-of-5,5,5,0.776474,0.172721,0.78557,0.544093,0.28318,0.5746,0.675958,0.836304,0.74763,279,10.333333,3.942683,0.0
exp7c_float32,h5_float32,validation,0.35,1-of-7,5,5,0.776474,0.165797,0.817002,0.594429,0.275654,0.622548,0.677143,0.843564,0.751247,226,8.37037,3.193714,0.0
exp7c_float32,h5_float32,validation,0.35,2-of-3,5,5,0.776474,0.164905,0.34038,0.249256,0.222174,0.260768,0.657326,0.479868,0.554751,428,15.851852,6.048273,0.0
exp7c_float32,h5_float32,validation,0.35,2-of-4,5,5,0.776474,0.181529,0.477964,0.311627,0.263124,0.332641,0.691006,0.535314,0.603277,347,12.851852,4.903623,0.0
exp7c_float32,h5_float32,validation,0.35,3-of-5,5,5,0.776474,0.14539,0.287136,0.244064,0.193037,0.249505,0.646465,0.390099,0.486579,350,12.962963,4.946018,0.0
exp7c_float32,h5_float32,validation,0.35,4-of-7,5,5,0.776474,0.133648,0.256488,0.240424,0.175729,0.242454,0.641711,0.332673,0.438185,268,9.925926,3.787236,0.0
exp7c_float32,h5_float32,validation,0.35,5-of-5,5,5,0.776474,0.062687,0.046756,0.101093,0.053562,0.094229,0.390698,0.120132,0.183761,262,9.703704,3.702448,0.0
exp7c_float32,h5_float32,validation,0.4,1-of-1,5,5,0.776474,0.318854,0.561633,0.173492,0.406773,0.222528,0.692998,0.755776,0.723027,513,19.0,7.249449,0.0
exp7c_float32,h5_float32,validation,0.4,1-of-3,5,5,0.776474,0.204387,0.634676,0.357256,0.309201,0.392304,0.716216,0.766337,0.740429,336,12.444444,4.748177,0.0
exp7c_float32,h5_float32,validation,0.4,1-of-5,5,5,0.776474,0.183412,0.689374,0.443824,0.289737,0.474846,0.721861,0.774917,0.747449,257,9.518519,3.63179,0.0
exp7c_float32,h5_float32,validation,0.4,1-of-7,5,5,0.776474,0.173611,0.723378,0.497913,0.280017,0.526398,0.721704,0.780858,0.750117,209,7.740741,2.953479,0.0
exp7c_float32,h5_float32,validation,0.4,2-of-3,5,5,0.776474,0.170213,0.24877,0.175369,0.202127,0.184642,0.662872,0.39604,0.495837,385,14.259259,5.44062,0.0
exp7c_float32,h5_float32,validation,0.4,2-of-4,5,5,0.776474,0.195536,0.368456,0.219203,0.255487,0.238059,0.684907,0.438944,0.53501,357,13.222222,5.044938,0.0
exp7c_float32,h5_float32,validation,0.4,3-of-5,5,5,0.776474,0.140452,0.188479,0.166796,0.160959,0.169535,0.65645,0.308251,0.419511,269,9.962963,3.801368,1.0
exp7c_float32,h5_float32,validation,0.4,4-of-7,5,5,0.776474,0.124683,0.159508,0.161927,0.139962,0.161622,0.64717,0.242244,0.352531,187,6.925926,2.642587,0.0
exp7c_float32,h5_float32,validation,0.4,5-of-5,5,5,0.776474,0.055038,0.029083,0.072205,0.038056,0.066757,0.346939,0.082508,0.133312,192,7.111111,2.713244,0.0
exp7c_float32,h5_float32,validation,0.45,1-of-1,5,5,0.776474,0.350894,0.498434,0.13333,0.411849,0.179456,0.713842,0.70033,0.707022,461,17.074074,6.514612,0.0
exp7c_float32,h5_float32,validation,0.45,1-of-3,5,5,0.776474,0.215613,0.559508,0.294336,0.311273,0.327836,0.723684,0.706931,0.715209,336,12.444444,4.748177,0.0
exp7c_float32,h5_float32,validation,0.45,1-of-5,5,5,0.776474,0.19239,0.613087,0.372153,0.292875,0.402592,0.731405,0.711551,0.721341,260,9.62963,3.674185,0.0
exp7c_float32,h5_float32,validation,0.45,1-of-7,5,5,0.776474,0.180007,0.643736,0.424042,0.281342,0.451798,0.729352,0.714851,0.722029,213,7.888889,3.010005,0.0
exp7c_float32,h5_float32,validation,0.45,2-of-3,5,5,0.776474,0.172325,0.193624,0.134479,0.182354,0.141951,0.711475,0.345875,0.465468,264,9.777778,3.730711,1.0
exp7c_float32,h5_float32,validation,0.45,2-of-4,5,5,0.776474,0.206815,0.303468,0.1683,0.245988,0.185377,0.731405,0.385479,0.504871,260,9.62963,3.674185,1.0
