tag,format,split,theta,policy,global_auc,beat_precision,beat_recall,beat_far,beat_f1,alert_rate,event_precision,event_recall,event_f1,false_alarm_blocks,fp_per_record,fp_per_1000_beats,median_latency_beats
exp7c_float32,h5_float32,validation,0.35,1-of-1,0.776463,0.276119,0.643289,0.24387,0.386388,0.29433,0.549936,0.749388,0.634354,3898,144.37037,55.084506,0.0
exp7c_float32,h5_float32,validation,0.35,2-of-3,0.776463,0.164789,0.34038,0.249466,0.222068,0.260952,0.533396,0.38312,0.445938,1488,55.111111,21.027641,0.0
exp7c_float32,h5_float32,validation,0.35,2-of-4,0.776463,0.181502,0.478076,0.311756,0.263113,0.332768,0.640818,0.53968,0.585917,1107,41.0,15.643548,0.0
exp7c_float32,h5_float32,validation,0.35,3-of-5,0.776463,0.145365,0.287136,0.244112,0.193015,0.249548,0.544687,0.31701,0.40077,917,33.962963,12.958567,0.0
exp7c_float32,h5_float32,validation,0.35,4-of-7,0.776463,0.133598,0.256376,0.240424,0.175659,0.24244,0.534804,0.282587,0.369783,675,25.0,9.538749,0.0
exp7c_float32,h5_float32,validation,0.35,5-of-5,0.776463,0.062603,0.046756,0.101239,0.053531,0.094356,0.299401,0.052859,0.089854,468,17.333333,6.613532,0.0
exp7c_float32,h5_float32,validation,0.4,1-of-1,0.776463,0.318571,0.561633,0.173719,0.406542,0.222726,0.600498,0.664554,0.630904,2890,107.037037,40.839975,0.0
exp7c_float32,h5_float32,validation,0.4,2-of-3,0.776463,0.170057,0.24877,0.175563,0.202017,0.184811,0.573756,0.285611,0.381377,994,36.814815,14.04669,0.0
exp7c_float32,h5_float32,validation,0.4,2-of-4,0.776463,0.195314,0.368345,0.219446,0.255271,0.238257,0.684787,0.428345,0.527027,806,29.851852,11.389972,0.0
exp7c_float32,h5_float32,validation,0.4,3-of-5,0.776463,0.140333,0.188367,0.166861,0.16084,0.169578,0.569465,0.214605,0.311732,595,22.037037,8.40823,0.0
exp7c_float32,h5_float32,validation,0.4,4-of-7,0.776463,0.124443,0.159284,0.162057,0.139724,0.161707,0.572553,0.179173,0.272935,380,14.074074,5.369962,0.0
exp7c_float32,h5_float32,validation,0.4,5-of-5,0.776463,0.055567,0.029418,0.072302,0.03847,0.066884,0.270707,0.034855,0.061759,361,13.37037,5.101464,0.0
exp7c_float32,h5_float32,validation,0.45,1-of-1,0.776463,0.351047,0.49877,0.13333,0.412069,0.179498,0.632018,0.597436,0.614241,2294,84.962963,32.417613,0.0
exp7c_float32,h5_float32,validation,0.45,2-of-3,0.776463,0.172373,0.193736,0.134511,0.182431,0.141993,0.597643,0.224975,0.326895,717,26.555556,10.132271,0.0
exp7c_float32,h5_float32,validation,0.45,2-of-4,0.776463,0.206936,0.303691,0.1683,0.246147,0.185405,0.732051,0.358923,0.481679,571,21.148148,8.069075,0.0
exp7c_float32,h5_float32,validation,0.45,3-of-5,0.776463,0.136082,0.139933,0.128461,0.13798,0.129911,0.576923,0.162178,0.253184,440,16.296296,6.217851,0.0
exp7c_float32,h5_float32,validation,0.45,4-of-7,0.776463,0.114445,0.112192,0.125534,0.113308,0.123848,0.556114,0.128763,0.209109,265,9.814815,3.744842,0.0
exp7c_float32,h5_float32,validation,0.45,5-of-5,0.776463,0.056604,0.022483,0.054186,0.032183,0.050181,0.268734,0.027654,0.050147,283,10.481481,3.999209,0.0
exp7c_float32,h5_float32,validation,0.5,1-of-1,0.776463,0.378816,0.458054,0.108615,0.414684,0.152761,0.662466,0.552787,0.602677,1875,69.444444,26.496524,0.0
exp7c_float32,h5_float32,validation,0.5,2-of-3,0.776463,0.179623,0.167226,0.110443,0.173203,0.117616,0.613816,0.196313,0.297483,587,21.740741,8.295178,0.0
exp7c_float32,h5_float32,validation,0.5,2-of-4,0.776463,0.218003,0.268456,0.13925,0.240614,0.155573,0.756137,0.321187,0.45086,457,16.925926,6.458086,0.0
exp7c_float32,h5_float32,validation,0.5,3-of-5,0.776463,0.139517,0.118792,0.105946,0.128323,0.107569,0.565556,0.139133,0.223325,391,14.481481,5.525408,0.0
exp7c_float32,h5_float32,validation,0.5,4-of-7,0.776463,0.112593,0.091611,0.104409,0.101024,0.102792,0.520958,0.107014,0.177555,240,8.888889,3.391555,0.0
exp7c_float32,h5_float32,validation,0.5,5-of-5,0.776463,0.056318,0.01745,0.042281,0.026644,0.039144,0.253049,0.021604,0.03981,245,9.074074,3.462212,0.0
exp7c_float32,h5_float32,validation,0.55,1-of-1,0.776463,0.396023,0.423266,0.093346,0.409192,0.135026,0.678458,0.513611,0.584637,1627,60.259259,22.991917,0.0
exp7c_float32,h5_float32,validation,0.55,2-of-3,0.776463,0.179309,0.144631,0.095723,0.160114,0.101902,0.622741,0.171972,0.269516,501,18.555556,7.079871,0.0
exp7c_float32,h5_float32,validation,0.55,2-of-4,0.776463,0.22154,0.238143,0.121005,0.229542,0.135804,0.758986,0.286764,0.416256,409,15.148148,5.779775,0.0
exp7c_float32,h5_float32,validation,0.55,3-of-5,0.776463,0.134983,0.099441,0.092149,0.114518,0.09307,0.562092,0.119401,0.196962,335,12.407407,4.734046,0.0
exp7c_float32,h5_float32,validation,0.55,4-of-7,0.776463,0.109209,0.077069,0.090903,0.090367,0.089156,0.491917,0.092035,0.155059,220,8.148148,3.108925,0.0
exp7c_float32,h5_float32,validation,0.55,5-of-5,0.776463,0.057278,0.014877,0.035407,0.023619,0.032813,0.265306,0.018436,0.034476,216,8.0,3.0524,0.0
exp7c_float32,h5_float32,validation,0.6,1-of-1,0.776463,0.400094,0.382103,0.082848,0.390891,0.120655,0.672899,0.466657,0.551115,1522,56.37037,21.508111,0.0
exp7c_float32,h5_float32,validation,0.6,2-of-3,0.776463,0.178995,0.1283,0.085096,0.149466,0.090555,0.624585,0.153824,0.246853,452,16.740741,6.387429,0.0
exp7c_float32,h5_float32,validation,0.6,2-of-4,0.776463,0.216796,0.207047,0.108162,0.211809,0.120655,0.752909,0.2509,0.376376,361,13.37037,5.101464,0.0
exp7c_float32,h5_float32,validation,0.6,3-of-5,0.776463,0.135016,0.08915,0.082589,0.107391,0.083418,0.5625,0.108455,0.181847,308,11.407407,4.352496,0.0
exp7c_float32,h5_float32,validation,0.6,4-of-7,0.776463,0.10964,0.069463,0.08157,0.085045,0.080041,0.503836,0.083969,0.143948,194,7.185185,2.741507,0.0
exp7c_float32,h5_float32,validation,0.6,5-of-5,0.776463,0.059375,0.012752,0.029212,0.020994,0.027132,0.262357,0.015843,0.029882,194,7.185185,2.741507,0.0
exp7c_float32,h5_float32,validation,0.65,1-of-1,0.776463,0.399606,0.34038,0.073952,0.367623,0.107611,0.668967,0.417543,0.514165,1391,51.518519,19.656888,0.0
exp7c_float32,h5_float32,validation,0.65,2-of-3,0.776463,0.179151,0.114765,0.076038,0.139906,0.080931,0.6301,0.138701,0.227355,408,15.111111,5.765644,0.0
exp7c_float32,h5_float32,validation,0.65,2-of-4,0.776463,0.208372,0.177069,0.097276,0.191449,0.107357,0.73012,0.215469,0.332741,336,12.444444,4.748177,0.0
exp7c_float32,h5_float32,validation,0.65,3-of-5,0.776463,0.134736,0.07953,0.073855,0.100021,0.074572,0.547401,0.097508,0.165531,296,10.962963,4.182918,0.0
exp7c_float32,h5_float32,validation,0.65,4-of-7,0.776463,0.110759,0.06264,0.072723,0.080023,0.071449,0.502793,0.077056,0.133632,178,6.592593,2.515403,0.0
exp7c_float32,h5_float32,validation,0.65,5-of-5,0.776463,0.058896,0.010626,0.024554,0.018004,0.022794,0.267782,0.013395,0.025513,175,6.481481,2.473009,0.0
exp7c_float32,h5_float32,test,0.35,1-of-1,0.885715,0.30358,0.899752,0.251541,0.453984,0.321955,0.557767,0.923733,0.695549,2844,123.652174,54.815643,0.0
exp7c_float32,h5_float32,test,0.35,2-of-3,0.885715,0.194875,0.519517,0.261574,0.283433,0.289594,0.448931,0.45581,0.452344,1160,50.434783,22.357998,0.0
