record,idx,peak_val,width,rise_fall,rr_prev_ms,beat_count,sqi,motion,bpm,tp,nearest_gold_ms,nearest_gold_abs_ms
1,52,24456.425453817115,17,14.0,0.0,1,0.4390850455333388,0,0,False,-1220.0,1220.0
1,705,28501.060874868843,17,14.0,1306.0,2,0.986597726740765,0,0,True,86.0,86.0
1,1385,28895.243557030626,17,14.0,1360.0,3,0.9896825151162484,0,0,True,86.0,86.0
1,2043,25882.770148006945,17,14.0,1316.0,4,0.989254453336686,0,0,True,86.0,86.0
1,2685,29835.4328456531,16,13.0,1284.0,5,0.9901672941789585,0,0,True,86.0,86.0
1,3356,29086.79512572749,17,14.0,1342.0,6,0.9922623073901666,0,0,True,84.0,84.0
1,4012,25558.93192573463,16,13.0,1312.0,7,0.9929411483065392,0,0,True,86.0,86.0
1,4667,30075.94683071343,16,13.0,1310.0,8,0.993931247353576,0,0,False,1396.0,1396.0
2,74,328.8949883582476,22,19.0,0.0,1,0.43617459133777403,0,0,False,-990.0,990.0
2,318,499.2633144600697,31,28.0,488.0,2,0.9999977447073211,0,0,False,-502.0,502.0
2,588,2810.611270723253,9,6.0,540.0,3,0.9854071711937151,0,0,True,38.0,38.0
2,1034,2902.445124049739,9,6.0,892.0,4,0.9719174869677532,0,0,True,38.0,38.0
2,1507,16615.816397074952,23,20.0,946.0,5,0.966100645739905,0,0,True,96.0,96.0
2,1929,3224.4289533510005,9,6.0,844.0,6,0.9757913994257557,0,0,True,38.0,38.0
2,2407,13877.099787003794,13,10.0,956.0,7,0.9674771361162697,0,0,True,76.0,76.0
2,2863,15857.570638229716,13,10.0,912.0,8,0.9709181286928297,0,0,True,74.0,74.0
2,3303,3333.2704497848013,9,6.0,880.0,9,0.9759996907453594,0,0,True,38.0,38.0
2,3790,14608.252693430088,13,10.0,974.0,10,0.9745940232697101,0,0,True,74.0,74.0
2,4255,18504.063596617554,13,10.0,930.0,11,0.9788929619877824,0,0,True,74.0,74.0
2,4707,3225.917878639332,9,6.0,904.0,12,0.9828861466338396,0,0,False,978.0,978.0
3,52,64.65924261608305,21,18.0,0.0,1,0.4390850455333388,0,0,False,-1186.0,1186.0
3,368,58.37331713782786,17,14.0,632.0,2,0.9999999237132117,0,0,False,-554.0,554.0
3,663,7856.245532019479,11,8.0,590.0,3,0.9977687010179059,0,0,True,36.0,36.0
3,1134,48062.8934428446,15,12.0,942.0,4,0.994568080396505,0,0,True,80.0,80.0
3,1557,8298.325458719268,11,8.0,846.0,5,0.9948159041820773,0,0,True,36.0,36.0
3,2007,8333.478099162741,11,8.0,900.0,6,0.9938599754525959,0,0,True,36.0,36.0
3,2477,46563.43136513562,14,11.0,940.0,7,0.9927587048316262,0,0,True,80.0,80.0
3,2927,47408.21554587214,14,11.0,900.0,8,0.9938745741995598,0,0,True,76.0,76.0
3,3377,44662.781911191196,15,12.0,900.0,9,0.9948806563304312,0,0,True,78.0,78.0
3,3827,47046.052828812724,14,11.0,900.0,10,0.9957376126496187,0,0,True,80.0,80.0
3,4282,43977.23512645306,14,11.0,910.0,11,0.9962207239950205,0,0,True,80.0,80.0
3,4720,8699.9473294354,11,8.0,876.0,12,0.9964567837643292,0,0,False,956.0,956.0
4,45,6485.168546991312,26,23.0,0.0,1,0.44094358113941706,0,0,False,-982.0,982.0
4,507,253.68571548472187,25,22.0,924.0,2,0.9752107144658974,0,0,True,-58.0,58.0
4,993,413.64082564350775,17,14.0,972.0,3,0.9563027902805052,0,0,True,-60.0,60.0
4,1484,373.43962654184304,21,18.0,982.0,4,0.9226217212803586,0,0,True,-56.0,56.0
4,1980,358.92741714118085,16,13.0,992.0,5,0.9235545686945504,0,0,True,-64.0,64.0
4,2481,396.37060349700107,18,15.0,1002.0,6,0.9061310241755155,0,0,True,-64.0,64.0
4,2722,239.53498765529835,55,52.0,482.0,7,0.8979924908646995,0,0,False,418.0,418.0
4,2974,494.4868794608803,15,12.0,504.0,8,0.895725920926044,0,0,True,-74.0,74.0
4,3467,268.0083433145495,16,13.0,986.0,9,0.9181875392093044,0,0,True,-56.0,56.0
4,3950,237.394240760037,19,16.0,966.0,10,0.920724285223881,0,0,True,-50.0,50.0
4,4429,479.30690306942336,17,14.0,958.0,11,0.9047846920399,0,0,True,-64.0,64.0
4,4911,361.10060093343435,14,11.0,964.0,12,0.8989991205488795,0,0,False,900.0,900.0
5,57,2277.221987587828,16,13.0,0.0,1,0.43811175230545174,0,0,False,-1884.0,1884.0
5,420,590.8227701167191,15,12.0,726.0,2,0.9860071720143221,0,0,False,-1158.0,1158.0
5,670,373.5304118098302,71,68.0,500.0,3,0.9914000203376087,0,0,False,-658.0,658.0
5,978,808.9304714296702,15,12.0,616.0,4,0.9883524984408636,0,0,True,-42.0,42.0
5,1231,396.10593201975576,79,76.0,506.0,5,0.9904187517626559,0,0,False,464.0,464.0
5,1492,528.7490768135416,17,14.0,522.0,6,0.9826340704020716,0,0,True,-36.0,36.0
5,1739,534.3306055344702,70,67.0,494.0,7,0.9863616404843005,0,0,False,458.0,458.0
5,2004,728.3465830747962,15,12.0,530.0,8,0.9857821314763157,0,0,True,-40.0,40.0
5,2253,494.51194727981544,72,69.0,498.0,9,0.98836930319597,0,0,False,458.0,458.0
5,2527,642.9718911714644,14,11.0,548.0,10,0.9888165601205747,0,0,True,-44.0,44.0
5,2778,519.5274273365435,70,67.0,502.0,11,0.9856156564093093,0,0,False,458.0,458.0
5,3057,520.0285013322681,14,11.0,558.0,12,0.9835904036134466,0,0,True,-42.0,42.0
5,3309,423.0678623763198,75,72.0,504.0,13,0.9791116227555169,0,0,False,462.0,462.0
5,3557,525.6361324973875,15,12.0,496.0,14,0.9787625537957639,0,0,True,-42.0,42.0
5,3807,486.44944979640934,71,68.0,500.0,15,0.9759006092652958,0,0,False,458.0,458.0
5,4063,599.1022352293064,15,12.0,512.0,16,0.9764055623516071,0,0,True,-42.0,42.0
5,4313,455.849593943108,70,67.0,500.0,17,0.972872628552097,0,0,False,458.0,458.0
5,4578,686.5087363724579,15,12.0,530.0,18,0.9726003240053263,0,0,False,988.0,988.0
5,4830,368.09828357999726,73,70.0,504.0,19,0.9699621207201221,0,0,False,1492.0,1492.0
6,52,1791.2150754855418,23,20.0,0.0,1,0.4390850455333388,0,0,False,-1418.0,1418.0
6,780,7146.214504213416,10,7.0,1456.0,2,0.9931788902348041,0,0,True,38.0,38.0
6,1358,7741.431950087247,10,7.0,1156.0,3,0.9876473682622114,0,0,True,38.0,38.0
6,1957,8024.403434549151,10,7.0,1198.0,4,0.985376796768829,0,0,True,40.0,40.0
6,2551,7337.626060145107,10,7.0,1188.0,5,0.9857702178417295,0,0,True,40.0,40.0
6,3146,7493.791672022009,10,7.0,1190.0,6,0.9859166334611202,0,0,True,38.0,38.0
6,3737,6812.3445087049095,10,7.0,1182.0,7,0.9898674277579076,0,0,True,38.0,38.0
6,4315,7423.733338343724,10,7.0,1156.0,8,0.9889901340638108,0,0,True,40.0,40.0
6,4903,7637.884610440948,10,7.0,1176.0,9,0.9893993791220237,0,0,False,1216.0,1216.0
7,52,7003.488379877292,31,28.0,0.0,1,0.4390850455333388,0,0,False,-1850.0,1850.0
7,461,2867.310021494723,15,12.0,818.0,2,0.9938570918708621,0,0,False,-1032.0,1032.0
7,702,489.1685361511767,68,65.0,482.0,3,0.9940054437856602,0,0,False,-550.0,550.0
7,963,2370.2617431771732,15,12.0,522.0,4,0.9932489679816269,0,0,True,-28.0,28.0
7,1204,603.0114215927879,68,65.0,482.0,5,0.9933906232668721,0,0,False,454.0,454.0
7,1467,2767.6223578521835,15,12.0,526.0,6,0.992542286365135,0,0,True,-26.0,26.0
7,1707,520.9709170056877,71,68.0,480.0,7,0.9923828339065711,0,0,True,-134.0,134.0
7,1952,1356.532966164017,19,16.0,490.0,8,0.995664769218098,0,0,False,356.0,356.0
7,2336,2149.946648894212,16,13.0,768.0,9,0.9965371993271159,0,0,True,-24.0,24.0
7,2844,2361.5435394881115,16,13.0,1016.0,10,0.9867268152222997,0,0,True,-24.0,24.0
7,3344,3023.377069458313,15,12.0,1000.0,11,0.9814313245229993,0,0,True,-26.0,26.0
7,3844,2357.106515359769,14,11.0,1000.0,12,0.9705609896393312,0,0,True,-30.0,30.0
7,4085,551.6501155518561,66,63.0,482.0,13,0.9696878417481667,0,0,False,452.0,452.0
7,4339,2554.1530186255713,15,12.0,508.0,14,0.966766632459202,0,0,True,-26.0,26.0
7,4579,480.05757430471715,65,62.0,480.0,15,0.9656377172525292,0,0,False,454.0,454.0
7,4844,2240.39332381112,15,12.0,530.0,16,0.9680873424188161,0,0,False,984.0,984.0
8,50,708.9478497305246,18,15.0,0.0,1,0.43954985172910005,0,0,False,-1260.0,1260.0
8,300,5546.321922927876,12,9.0,500.0,2,0.9999967158866923,0,0,False,-760.0,760.0
8,718,7018.899159950895,12,9.0,836.0,3,0.9916561940163913,0,0,True,76.0,76.0
8,1135,6156.887771499181,11,8.0,834.0,4,0.9874322657638808,0,0,True,74.0,74.0
8,1481,2497.935498939133,9,6.0,692.0,5,0.9857341439875839,0,0,True,40.0,40.0
8,1906,11165.68297767778,14,11.0,850.0,6,0.9803484058114298,0,0,True,80.0,80.0
8,2329,1161.8010290637549,15,12.0,846.0,7,0.9826232582983558,0,0,True,34.0,34.0
8,2795,12695.151811807189,19,16.0,932.0,8,0.9759440273843388,0,0,True,120.0,120.0
8,3216,13913.528277904901,18,15.0,842.0,9,0.9687177520875465,0,0,True,120.0,120.0
8,3616,10717.480451093254,12,9.0,800.0,10,0.9639606329336778,0,0,True,76.0,76.0
8,4038,6446.775491770002,12,9.0,844.0,11,0.9588239393596493,0,0,True,76.0,76.0
8,4482,12682.42657867376,18,15.0,888.0,12,0.9558945729352614,0,0,True,118.0,118.0
8,4882,11218.298108434274,12,9.0,800.0,13,0.9605208600375089,0,0,False,918.0,918.0
9,57,187.25270527614734,18,15.0,0.0,1,0.43811175230545174,0,0,False,-1366.0,1366.0
9,307,638.8993278648843,34,31.0,500.0,2,0.9999935285596597,0,0,False,-866.0,866.0
9,667,114.65475145888918,14,11.0,720.0,3,0.9978253047604859,0,0,True,-146.0,146.0
9,911,885.8633997692168,19,16.0,488.0,4,0.9998368084091829,0,0,False,342.0,342.0
9,1176,5693.68902374461,9,6.0,530.0,5,0.987345931778274,0,0,True,40.0,40.0
9,1590,7299.476448180688,10,7.0,828.0,6,0.9735498905591466,0,0,True,40.0,40.0
9,2006,6396.334913031891,9,6.0,832.0,7,0.9608150036302936,0,0,True,40.0,40.0
9,2432,5551.818905578175,10,7.0,852.0,8,0.9470758548282958,0,0,True,40.0,40.0
9,2859,7149.585819291713,10,7.0,854.0,9,0.9376528002764744,0,0,True,40.0,40.0
9,3302,26590.862029523007,17,14.0,886.0,10,0.9406809455931535,0,0,True,82.0,82.0
9,3732,21372.20590148653,15,12.0,860.0,11,0.9501332315348986,0,0,True,80.0,80.0
9,4152,5178.082256604546,9,6.0,840.0,12,0.9560850444479458,0,0,True,40.0,40.0
9,4619,27697.272992619,20,17.0,934.0,13,0.9534398084436488,0,0,False,974.0,974.0
10,51,1099.8035922677466,32,29.0,0.0,1,0.4393114895774276,0,0,False,-1306.0,1306.0
10,296,2035.7358301253528,74,71.0,490.0,2,0.9999978577129179,0,0,False,-816.0,816.0
10,710,801.5531874529833,8,5.0,828.0,3,0.9907891643731966,0,0,True,12.0,12.0
10,1228,9999.361454393616,23,20.0,1036.0,4,0.9734467060295665,0,0,True,78.0,78.0
10,1692,7470.776603338936,9,6.0,928.0,5,0.969455554981834,0,0,True,44.0,44.0
10,2157,867.9044970118457,8,5.0,930.0,6,0.9667132516428332,0,0,True,14.0,14.0
10,2684,16381.196236166757,16,13.0,1054.0,7,0.9611051924239126,0,0,True,78.0,78.0
10,3178,12371.952276681815,23,20.0,988.0,8,0.957371863341155,0,0,True,80.0,80.0
10,3654,5061.678544508699,10,7.0,952.0,9,0.9565487769545248,0,0,True,42.0,42.0
10,4154,14125.286406995587,21,18.0,1000.0,10,0.9506872036118247,0,0,True,78.0,78.0
10,4649,11003.136785665165,23,20.0,990.0,11,0.9524015234603117,0,0,False,1068.0,1068.0
11,52,212.4682869526407,32,29.0,0.0,1,0.4390850455333388,0,0,False,-1460.0,1460.0
11,309,19370.804028340244,13,10.0,514.0,2,0.9980861157657356,0,0,False,-946.0,946.0
