record,gold,det,tp,fp,fn,gold_bpm,det_bpm,bpm_err
1,6,8,5,3,1,45.59270516717325,47.0,1.40729483282675
2,9,11,9,2,0,65.57377049180327,67.0,1.4262295081967267
3,9,11,9,2,0,66.81514476614699,67.0,0.18485523385301406
4,9,11,8,3,1,61.47540983606557,61.0,0.4754098360655732
5,7,10,7,3,0,58.53658536585366,59.0,0.4634146341463392
6,7,9,6,3,1,50.63291139240506,57.0,6.367088607594937
7,8,11,8,3,0,59.7609561752988,75.0,15.239043824701199
8,10,12,10,2,0,71.09004739336493,72.0,0.9099526066350734
9,9,11,9,2,0,70.75471698113208,70.0,0.7547169811320771
10,8,10,8,2,0,61.855670103092784,62.0,0.14432989690721598
11,8,11,8,3,0,60.36217303822938,61.0,0.6378269617706209
12,7,10,7,3,0,52.173913043478265,56.0,3.826086956521735
13,7,10,7,3,0,58.8235294117647,63.0,4.176470588235297
14,12,13,12,1,0,83.56545961002786,83.0,0.5654596100278582
15,8,11,8,3,0,64.51612903225806,65.0,0.48387096774193594
16,10,12,10,2,0,73.17073170731707,73.0,0.1707317073170742
17,10,13,9,4,1,72.28915662650603,74.0,1.7108433734939723
18,11,13,11,2,0,79.36507936507937,79.0,0.36507936507936734
19,8,11,8,3,0,60.851926977687626,63.0,2.1480730223123743
20,8,11,8,3,0,64.93506493506493,66.0,1.0649350649350708
21,10,11,10,1,0,72.81553398058253,72.0,0.8155339805825292
22,11,13,10,3,1,75.94936708860759,84.0,8.050632911392412
23,8,10,8,2,0,60.0,60.0,0.0
24,7,10,7,3,0,50.76142131979696,72.0,21.23857868020304
25,7,10,7,3,0,60.0,63.0,3.0
26,8,11,7,4,1,63.29113924050633,67.0,3.7088607594936676
27,7,9,7,2,0,54.347826086956516,55.0,0.6521739130434838
28,8,10,8,2,0,59.05511811023622,59.0,0.05511811023622215
29,9,11,8,3,1,65.14657980456026,66.0,0.8534201954397389
30,7,10,7,3,0,50.33557046979866,78.0,27.66442953020134
31,9,13,9,4,0,64.79481641468682,118.0,53.20518358531318
32,9,11,9,2,0,63.29113924050633,65.0,1.7088607594936676
33,8,10,8,2,0,61.224489795918366,61.0,0.22448979591836604
34,8,11,8,3,0,60.0,66.0,6.0
35,20,13,13,0,7,140.8450704225352,95.0,45.8450704225352
36,8,11,8,3,0,65.50218340611353,69.0,3.497816593886469
37,10,12,10,2,0,69.28406466512702,70.0,0.7159353348729809
38,15,15,13,2,2,112.78195488721803,107.0,5.781954887218035
39,7,9,7,2,0,53.09734513274337,57.0,3.9026548672566292
40,9,11,9,2,0,64.23982869379016,67.0,2.760171306209841
41,6,8,6,2,0,48.939641109298535,50.0,1.0603588907014654
42,8,10,8,2,0,56.81818181818181,60.0,3.181818181818187
43,8,10,8,2,0,60.483870967741936,60.0,0.48387096774193594
44,9,11,9,2,0,66.66666666666667,63.0,3.6666666666666714
45,8,9,7,2,1,60.120240480961925,60.0,0.1202404809619253
46,8,10,8,2,0,62.761506276150634,62.0,0.7615062761506337
47,6,10,6,4,0,47.46835443037975,84.0,36.53164556962025
48,7,10,7,3,0,58.30903790087464,60.0,1.6909620991253576
49,7,10,7,3,0,54.74452554744525,57.0,2.2554744525547505
