name,STARTUP_BLANK_SAMP,MIN_CONF_FEAT,GATE_RF_MAX,GATE_WIDTH_RATIO,GATE_AMP_CONSISTENCY,GATE_AMP_FRAC_PREV,GATE_RR_RATIO,MIN_QRS_WIDTH,MAX_QRS_WIDTH,records,gold_beats,det_beats,tp,fp,fn,se,ppv,f1,bpm_mae,bpm_median_err,bpm_p90,bpm_within3,bpm_within5
v5_baseline,0,1000,,,,,,,,200,1831,2499,1775,724,56,0.969415619879847,0.7102841136454582,0.8198614318706697,10.168406876523383,3.146201459609795,36.20391684839559,49.0,65.0
blank250,250,1000,,,,,,,,200,1831,2310,1765,545,66,0.9639541234298198,0.7640692640692641,0.8524510987684135,7.460794865027103,1.8887491432730172,21.185373321659394,60.0,72.5
rf_c3_40,0,3,40,,,,,,,200,1831,2440,1773,667,58,0.9683233205898416,0.726639344262295,0.8302505268087098,6.998160974884038,2.689954060847704,21.93265258502872,51.5,69.0
rf_c4_40,0,4,40,,,,,,,200,1831,2446,1775,671,56,0.969415619879847,0.7256745707277187,0.8300210427870002,7.793160974884038,3.146201459609795,23.27747620987151,49.0,66.0
rf_c5_35,0,5,35,,,,,,,200,1831,2452,1774,678,57,0.9688694702348444,0.7234910277324633,0.8283913144991829,8.963160974884039,3.146201459609795,26.08260869565217,49.0,65.0
rf_c5_40,0,5,40,,,,,,,200,1831,2455,1775,680,56,0.969415619879847,0.7230142566191446,0.8282781147923471,8.968160974884038,3.146201459609795,26.08260869565217,49.0,65.0
rf_c5_45,0,5,45,,,,,,,200,1831,2455,1775,680,56,0.969415619879847,0.7230142566191446,0.8282781147923471,8.968160974884038,3.146201459609795,26.08260869565217,49.0,65.0
rf_c8_35,0,8,35,,,,,,,200,1831,2465,1774,691,57,0.9688694702348444,0.7196754563894523,0.8258845437616388,10.023406876523381,3.146201459609795,36.20391684839559,49.0,65.0
rf_c8_40,0,8,40,,,,,,,200,1831,2466,1775,691,56,0.969415619879847,0.7197891321978913,0.8261577845008145,10.023406876523381,3.146201459609795,36.20391684839559,49.0,65.0
rf_c8_45,0,8,45,,,,,,,200,1831,2466,1775,691,56,0.969415619879847,0.7197891321978913,0.8261577845008145,10.023406876523381,3.146201459609795,36.20391684839559,49.0,65.0
