epoch,loss,lr
1,3.014752,0.00099606
2,1.617535,0.00098429
3,1.189304,0.00096489
4,1.031773,0.00093815
5,0.936614,0.00090451
6,0.874018,0.00086448
7,0.756674,0.00081871
8,0.686948,0.00076791
9,0.706409,0.00071289
10,0.673167,0.00065451
11,0.723035,0.00059369
12,0.612145,0.00053140
13,0.652712,0.00046860
14,0.611927,0.00040631
15,0.584229,0.00034549
16,0.565089,0.00028711
17,0.525479,0.00023209
18,0.562968,0.00018129
19,0.549915,0.00013552
20,0.541255,0.00009549
21,0.536689,0.00006185
22,0.539840,0.00003511
23,0.549415,0.00001571
24,0.508761,0.00000394
25,0.536597,0.00050000
26,0.575112,0.00049951
27,0.592743,0.00049803
28,0.541964,0.00049557
29,0.513754,0.00049215
30,0.502861,0.00048776
31,0.489609,0.00048244
32,0.470269,0.00047621
33,0.459974,0.00046908
34,0.451119,0.00046108
35,0.444991,0.00045225
36,0.429516,0.00044263
37,0.445304,0.00043224
38,0.448372,0.00042114
39,0.435629,0.00040936
40,0.412457,0.00039695
41,0.421932,0.00038396
42,0.419108,0.00037044
43,0.390141,0.00035644
44,0.386593,0.00034203
45,0.391035,0.00032725
46,0.382691,0.00031217
47,0.387172,0.00029685
48,0.379871,0.00028133
49,0.385743,0.00026570
50,0.366419,0.00025000
51,0.361038,0.00023430
52,0.359444,0.00021867
53,0.369133,0.00020315
54,0.357816,0.00018783
55,0.357369,0.00017275
56,0.360110,0.00015797
57,0.365519,0.00014356
58,0.359187,0.00012956
59,0.353465,0.00011604
60,0.338355,0.00010305
61,0.339648,0.00009064
62,0.341785,0.00007886
63,0.343041,0.00006776
64,0.345985,0.00005737
65,0.343287,0.00004775
66,0.332387,0.00003892
67,0.354360,0.00003092
68,0.345139,0.00002379
69,0.344189,0.00001756
70,0.323496,0.00001224
71,0.335010,0.00000785
72,0.361159,0.00000443
73,0.349280,0.00000197
74,0.345855,0.00000049
75,0.330637,0.00025000
76,0.350988,0.00024994
77,0.388279,0.00024975
78,0.345088,0.00024945
79,0.343783,0.00024901
80,0.354947,0.00024846
81,0.343983,0.00024779
82,0.334878,0.00024699
83,0.327496,0.00024607
84,0.324768,0.00024504
85,0.333709,0.00024388
86,0.331062,0.00024261
87,0.340101,0.00024122
88,0.318437,0.00023972
89,0.328705,0.00023810
90,0.318649,0.00023638
91,0.319806,0.00023454
92,0.326643,0.00023259
93,0.324501,0.00023054
94,0.330633,0.00022839
95,0.323381,0.00022613
96,0.324441,0.00022377
97,0.303231,0.00022131
98,0.312332,0.00021876
99,0.318323,0.00021612
100,0.303561,0.00021339
